run_id,condition,phase,language,entry_id,gloss_en,expected_surfaces,top1_surface,topk_surfaces,rank_of_first_expected,resonance_expected,resonance_top1,resonance_top2,margin,success_topk
RUN_1768091923,C1_JP_ONLY,A,JP,JP001,light,"['ひかり', '光']",光,"['光', 'ひかり', 'ひのひかり', 'つきひかり', 'つき']",1,0.016020444567994584,0.5329559884354046,0.5150793517998634,0.017876636635541177,True
RUN_1768091923,C1_JP_ONLY,A,JP,JP002,water,"['水', 'みず']",水,"['水', 'みず', 'ひかり', 'した', 'いのち']",1,0.016373196308739325,0.5114424862862847,0.5070787048718784,0.004363781414406298,True
RUN_1768091923,C1_JP_ONLY,A,JP,JP003,fire,"['ひ', '火']",ひ,"['ひ', '火', 'ひのひかり', 'いのち', 'すくない']",1,0.014791670208397577,0.4784321281000105,0.4655375331300853,0.012894594969925233,True
RUN_1768091923,C1_JP_ONLY,A,JP,JP004,moon,"['月', 'つき']",つき,"['つき', '月', 'つきひかり', 'たべる', 'みる']",1,0.014814649303821403,0.4784669915201936,0.4739478909032276,0.004519100616966032,True
RUN_1768091923,C1_JP_ONLY,A,JP,JP005,sky,"['そら', '空']",そら,"['そら', '空', 'うみそら', 'あおぞら', 'たかい']",1,0.017328933437314398,0.5356276779117707,0.5224415731064581,0.01318610480531257,True
RUN_1768091923,C1_JP_ONLY,A,JP,JP006,mountain,"['やま', '山']",山,"['山', 'やま', 'やまかわ', 'やまみち', 'たかいやま']",1,0.014615512879288643,0.49729020670133006,0.4745225677909943,0.022767638910335786,True
RUN_1768091923,C1_JP_ONLY,A,JP,JP007,river,"['川', 'かわ']",川,"['川', 'かわ', 'かわべ', 'やまかわ', 'ちいさいかわ']",1,0.013456676728942291,0.46939695949533755,0.447448754447032,0.021948205048305525,True
RUN_1768091923,C1_JP_ONLY,A,JP,JP008,sea,"['海', 'うみ']",海,"['海', 'うみかぜ', 'うみ', 'うみそら', 'やまかわ']",1,0.014627245993810755,0.47837295798296153,0.47812333916902805,0.0002496188139334832,True
RUN_1768091923,C1_JP_ONLY,A,JP,JP009,person,"['ひと', '人']",ひと,"['ひと', '人', 'ひとこども', 'こども', 'やまみち']",1,0.014653660698893402,0.47061604122727896,0.46101522120227595,0.00960082002500301,True
RUN_1768091923,C1_JP_ONLY,A,JP,JP010,child,"['こども', '子供']",こども,"['こども', '子供', 'ひとこども', 'かわべ', 'そら']",1,0.01440886119051356,0.45975198303968234,0.44460294688458446,0.015149036155097884,True
