run_id,condition,phase,task,language,word_id,query_gloss,expected_surface,rank_of_expected,topk_surfaces,resonance_expected,resonance_top1,resonance_top2,margin,success_topk
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,1,light,ひかり,1,"['ひかり', 'はいる', 'つき', 'のむ', 'くる']",0.01804256282700048,0.5800932381305972,0.09320541050933358,0.48688782762126365,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,2,water,みず,1,"['みず', 'ながい', 'おおきい', 'べんきょう', 'たべる']",0.01892280962343889,0.5860403561685086,0.10992296399886453,0.47611739216964405,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,3,fire,ひ,1,"['ひ', 'ちいさい', 'いのち', 'すくない', 'そら']",0.01728727745310716,0.5591517945180974,0.0808968537406728,0.4782549407774246,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,4,moon,つき,1,"['つき', 'たべる', 'みる', 'やま', 'くる']",0.017737639402444695,0.5728704600093767,0.09640853666391992,0.4764619233454568,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,5,sky,そら,1,"['そら', 'でる', 'ひ', 'おおい', 'みる']",0.018844002289255472,0.5824576120203645,0.07298321284012387,0.5094743991802406,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,6,mountain,やま,1,"['やま', 'たかい', 'おおい', 'うみ', 'ふるい']",0.017429724737823733,0.5658917211316422,0.0774829125967791,0.4884088085348631,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,7,river,かわ,1,"['かわ', 'こども', 'おおきい', 'たかい', 'ひと']",0.016500342490779467,0.5486538648557566,0.09135615454320138,0.45729771031255523,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,8,sea,うみ,1,"['うみ', 'べんきょう', 'ひと', 'あたらしい', 'はやい']",0.0184488684212716,0.5895162798296948,0.06640567838935292,0.5231106014403418,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,9,person,ひと,1,"['ひと', 'おおい', 'うみ', 'のむ', 'いく']",0.01723695518527725,0.5535809637464713,0.09046730990801981,0.46311365383845143,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,10,child,こども,1,"['こども', 'うみ', 'そら', 'ひと', 'のむ']",0.018303727711704167,0.5840277729939356,0.07320150989076676,0.5108262631031688,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,11,study,べんきょう,1,"['べんきょう', 'たかい', 'でる', 'うみ', 'こども']",0.01841752261229871,0.5797691835583845,0.09363969925306272,0.48612948430532177,True
RUN_1768052885,C4_MixedB,6,EN_GLOSS_TO_JP_SURFACE,JP,12,life,いのち,1,"['いのち', 'おおい', 'すくない', 'ひ', 'ひかり']",0.018228730330048636,0.5784846254943181,0.09267460979267207,0.48581001570164606,True
