run_id,condition,phase,language,word_id,query_type,query_surface,cue_prefix,cue_gloss,expected_surface,top1_surface,topk_surfaces,resonance_top1,resonance_top2,correct
RUN_1768052885,C1_JP,2,JP,1,surface_exact,ひかり,,,ひかり,ひかり,"['ひかり', 'おおきい', 'べんきょう', 'ちいさい', 'つき']",0.5650427614979858,0.0734524808091535,True
RUN_1768052885,C1_JP,2,JP,2,surface_exact,みず,,,みず,みず,"['みず', 'いのち', 'つき', 'ふるい', 'おおい']",0.5812457081512584,0.09634810905906771,True
RUN_1768052885,C1_JP,2,JP,3,surface_exact,ひ,,,ひ,ひ,"['ひ', 'べんきょう', 'はやい', 'やま', 'うえ']",0.5591581401554814,0.07836960112687244,True
RUN_1768052885,C1_JP,2,JP,4,surface_exact,つき,,,つき,つき,"['つき', 'ひかり', 'おおい', 'みる', 'した']",0.5715189451448783,0.05464688960917606,True
RUN_1768052885,C1_JP,2,JP,5,surface_exact,そら,,,そら,そら,"['そら', 'あたらしい', 'べんきょう', 'ながい', 'おおきい']",0.580215072701085,0.06386653012898771,True
RUN_1768052885,C1_JP,2,JP,6,surface_exact,やま,,,やま,やま,"['やま', 'はいる', 'そら', 'はやい', 'たべる']",0.6010062367327703,0.0764374432872858,True
RUN_1768052885,C1_JP,2,JP,7,surface_exact,かわ,,,かわ,かわ,"['かわ', 'いく', 'くる', 'いのち', 'のむ']",0.5746554831141033,0.09546645351139978,True
RUN_1768052885,C1_JP,2,JP,8,surface_exact,うみ,,,うみ,うみ,"['うみ', 'のむ', 'した', 'ひかり', 'ふるい']",0.5997608868655598,0.07063818537027773,True
RUN_1768052885,C1_JP,2,JP,9,surface_exact,ひと,,,ひと,ひと,"['ひと', 'でる', 'くる', 'たべる', 'おおきい']",0.5712467430190331,0.0915425468414579,True
RUN_1768052885,C1_JP,2,JP,10,surface_exact,こども,,,こども,こども,"['こども', 'みず', 'でる', 'ひかり', 'ちいさい']",0.5682082487350246,0.07799213254269458,True
RUN_1768052885,C1_JP,2,JP,11,surface_exact,べんきょう,,,べんきょう,べんきょう,"['べんきょう', 'かわ', 'ひかり', 'いのち', 'たかい']",0.5971966317122177,0.07309781611198947,True
RUN_1768052885,C1_JP,2,JP,12,surface_exact,いのち,,,いのち,いのち,"['いのち', 'はやい', 'すくない', 'いく', 'ひ']",0.5867672191687905,0.07679882060483453,True
RUN_1768052885,C1_JP,2,JP,13,surface_exact,たべる,,,たべる,たべる,"['たべる', 'した', 'みず', 'やま', 'くる']",0.528597703575893,0.07358447962890974,True
RUN_1768052885,C1_JP,2,JP,14,surface_exact,のむ,,,のむ,のむ,"['のむ', 'ちいさい', 'うみ', 'すくない', 'した']",0.5663642532607349,0.08078053835636932,True
RUN_1768052885,C1_JP,2,JP,15,surface_exact,みる,,,みる,みる,"['みる', 'ながい', 'すくない', 'した', 'ちいさい']",0.6064355510782624,0.07125046173914383,True
RUN_1768052885,C1_JP,2,JP,16,surface_exact,いく,,,いく,いく,"['いく', 'かわ', 'すくない', 'くる', 'たかい']",0.5761861024402387,0.08831592255479566,True
RUN_1768052885,C1_JP,2,JP,17,surface_exact,くる,,,くる,くる,"['くる', 'ながい', 'はやい', 'のむ', 'ふるい']",0.5842615597130227,0.08193173911015754,True
RUN_1768052885,C1_JP,2,JP,18,surface_exact,はいる,,,はいる,はいる,"['はいる', 'みず', 'のむ', 'ふるい', 'そら']",0.5775267563181234,0.079628957446098,True
RUN_1768052885,C1_JP,2,JP,19,surface_exact,でる,,,でる,でる,"['でる', 'はいる', 'おおきい', 'たべる', 'うえ']",0.5829716623765854,0.05271157299776118,True
RUN_1768052885,C1_JP,2,JP,20,surface_exact,おおきい,,,おおきい,おおきい,"['おおきい', 'たかい', 'べんきょう', 'たべる', 'うみ']",0.5882047059683094,0.07945964200100315,True
RUN_1768052885,C1_JP,2,JP,21,surface_exact,ちいさい,,,ちいさい,ちいさい,"['ちいさい', 'こども', 'やま', 'ひかり', 'くる']",0.5971774323941444,0.07739357823483985,True
RUN_1768052885,C1_JP,2,JP,22,surface_exact,ながい,,,ながい,ながい,"['ながい', 'おおきい', 'たべる', 'はいる', 'みず']",0.5637860436911183,0.07333882928310474,True
